Audi A4 2.0 TDI ultra (110 kW),0.23,0.51,1335.50,2120.72,3165.62
BMW E30 M3,0.33,0.629,2363.25,3752.75,5601.78
Edison2 Very Light Car Automotive X Prize winner,0.16,0.258,469.99,746.32,1114.04
Ford Crown Victoria,0.33,0.808,3035.78,4820.71,7195.92
Ford Escape Hybrid,0.4,1.08,4918.45,7810.32,11658.56
Honda CRX HF,0.29,0.53,1749.92,2778.81,4147.96
Hummer H2,0.57,2.46,15964.48,25351.01,37841.74
Lamborghini Diablo,0.31,0.573,2022.37,3211.45,4793.77
Mazda RX-7FC3C,0.33,0.553,2077.71,3299.32,4924.93
Nissan Maxima,0.32,0.669,2437.37,3870.45,5777.46
Opel Calibra 8-valve,0.26,0.5,1480.09,2350.33,3508.36
Porsche Taycan Turbo,0.22,0.513,1284.95,2040.45,3045.80
Saturn SC2,0.31,0.608,2145.90,3407.62,5086.59
Smart Roadster,0.41,0.645,3010.85,4781.11,7136.82
Tesla Model S,0.24,0.562,1535.65,2438.56,3640.06
Toyota Camry (Sedan),0.33,0.703,2641.28,4194.25,6260.81
Toyota MR-2,0.35,0.539,2147.84,3410.69,5091.17
Toyota Prius,0.24,0.576,1573.91,2499.30,3730.74
